Model,Correlation and Redudancy Analysis,Precision,Recall,F1-score,AUC
LogisticRegression,True,0.9117647058823529,0.7380952380952381,0.8157894736842106,0.8453106852497096
DecisionTree,True,0.8933333333333333,0.7976190476190477,0.8427672955974843,0.8344947735191637
RandomForest,True,0.9264705882352942,0.75,0.8289473684210525,0.9187717770034842
MLP,True,0.9516129032258065,0.7023809523809523,0.8082191780821918,0.8172909407665505
LogisticRegression,False,0.918918918918919,0.40476190476190477,0.5619834710743802,0.5548780487804877
DecisionTree,False,1.0,0.5952380952380952,0.7462686567164178,0.7976190476190477
RandomForest,False,1.0,0.5714285714285714,0.7272727272727273,0.8985191637630661
MLP,False,0.9666666666666667,0.34523809523809523,0.5087719298245613,0.5657665505226481
