LR,DT,RF,MLP
0.8023255813953489,0.9433962264150945,0.9182389937106918,0.8242424242424242
0.8571428571428571,0.963855421686747,0.9079754601226993,0.8711656441717791
0.9005847953216374,0.9259259259259259,0.888888888888889,0.8875000000000001
0.7976190476190477,0.9634146341463415,0.9447852760736196,0.8421052631578947
0.8304093567251463,0.951219512195122,0.8974358974358975,0.7954545454545455
0.8915662650602411,0.9171974522292993,0.9240506329113924,0.8433734939759037
0.8518518518518519,0.9404761904761905,0.9024390243902439,0.84472049689441
0.9239766081871346,0.9506172839506173,0.9146341463414636,0.8670520231213873
0.8571428571428571,0.9447852760736196,0.9259259259259259,0.8553459119496856
0.8488372093023256,0.9146341463414636,0.8875000000000001,0.8242424242424242
